AMOUNT,IDMEASURE,CREATED,CREATED_BY,UPDATED,UPDATED_BY,DESCRIPTION,ID,IDRECIPE,NAME
2,5,2023-05-21T15:53:20,JORTRI,2023-05-21T15:53:20,JORTRI,grandes,30,22,Pimiento Rojo
1,5,2023-05-21T15:54:16,JORTRI,2023-05-21T15:54:16,JORTRI,,33,22,Ajo
1,5,2023-05-21T15:55:18,JORTRI,2023-05-21T15:55:27,JORTRI,1 lata,35,22,Ventresca
3,5,2023-05-21T16:28:01,JORTRI,2023-05-21T16:28:01,JORTRI,medianas,37,23,Patata
1,5,2023-05-21T17:00:24,JORTRI,2023-05-21T17:00:24,JORTRI,,52,25,Cebolleta
8,5,2023-05-21T17:04:18,JORTRI,2023-05-21T17:04:18,JORTRI,,58,25,Huevo Codorniz
1,5,2023-05-21T17:27:55,JORTRI,2023-05-21T17:27:55,JORTRI,,70,27,Cebolla
1,5,2023-05-21T17:28:47,JORTRI,2023-05-21T17:28:47,JORTRI,,74,27,Chorizo
,,2023-05-21T17:29:18,JORTRI,2023-05-21T17:29:18,JORTRI,,77,27,Laurel
1,25,2023-05-21T17:29:45,JORTRI,2023-05-21T17:30:52,JORTRI,,78,27,Pimentón Picante
1,5,2023-05-21T17:37:13,JORTRI,2023-05-21T17:37:13,JORTRI,,80,28,Cebolleta
6,5,2023-05-21T17:37:27,JORTRI,2023-05-21T17:37:27,JORTRI,,81,28,Tomate
150,4,2023-05-21T17:38:50,JORTRI,2023-05-21T17:38:50,JORTRI,,86,28,Vinagre Modena
,,2023-05-21T17:47:03,JORTRI,2023-05-21T17:47:03,JORTRI,,90,29,Bacon
,,2023-05-21T17:47:44,JORTRI,2023-05-21T17:47:44,JORTRI,,92,29,Salsa Yogurt
,,2023-05-21T17:52:38,JORTRI,2023-05-21T17:52:38,JORTRI,,93,29,Pan Hamburguesa
,,2023-05-21T17:59:59,JORTRI,2023-05-21T17:59:59,JORTRI,,104,31,Pan Hamburguesa
,,2023-05-23T17:20:26,JORTRI,2023-05-23T17:28:25,JORTRI,"Ya el resto que quieras montarle a la pizza y de que la quieras montar:
-Carnuna: Salchichas, pechuga pavo, sobrasada, olivas 
-Atúnaca: atún, cebolla, tápenas, olivas 
-Verdulera: verduras  variadas (previamente pochadas o no), olivas 
-Quesuna: otros quesos, olivas 
....",141,34,Variados
,,2023-05-23T17:36:07,JORTRI,2023-05-23T17:36:07,JORTRI,,148,35,Aceite
4,5,2023-05-24T11:43:15,JORTRI,2023-05-24T11:43:15,JORTRI,medianas,161,37,Patata
,,2023-05-24T11:43:32,JORTRI,2023-05-24T11:43:32,JORTRI,,163,37,Aceite
150,2,2023-05-24T11:51:10,JORTRI,2023-05-24T11:51:10,JORTRI,variadas,165,38,Lechuga
