Id,IDRECIPE,STEP,DESCRIPTION,CREATED,CREATED_BY,UPDATED,UPDATED_BY
21,21,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure></div><p>grande:</p><ul><li>Ajo daditos pequeños</li><li>Cebolla daditos</li><li><span class=""text-big"">⇒ Pochar</span></li></ul><p>&nbsp;</p></div>",2023-05-21T15:43:08,JORTRI,2023-05-22T12:08:16,JORTRI
27,22,2,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/cazuela_48.png"" alt=""Cacerola"" title=""Cacerola"">
  <figcaption>Cacerola</figcaption>
</figure></div><ul><li>Agua y sal</li><li>Patatas (sin pelar)</li><li><span class=""text-huge"">⇒</span> Cocer 35'</li></ul></div>",2023-05-21T15:58:12,JORTRI,2023-05-22T12:01:59,JORTRI
28,22,3,"<div class=""ck-content""><p>Pimientos templados del paso 1:</p><ul><li>Quitar rabo y piel&nbsp;</li></ul><blockquote><p><mark class=""marker-yellow"">NOTA: Debe salir bien</mark></p></blockquote></div>",2023-05-21T15:58:40,JORTRI,2023-05-21T16:00:59,JORTRI
31,22,6,<p>Huevos separar:</p><ol><li>Clara cocida → se picara</li><li>Yema → Rayarla</li></ol><p>&nbsp;</p>,2023-05-21T16:22:38,JORTRI,2023-05-21T16:22:38,JORTRI
32,22,7,<p>Fuente de servir como ensalada:</p><ul><li>Centro: Mezcla bol → Por encima yema rayada</li><li>Lados: Patata en lonchas → Por encima Ventresca en lonchas → Por enciman la clara picada → Chorro aceite</li></ul>,2023-05-21T16:24:06,JORTRI,2023-05-21T16:25:06,JORTRI
33,23,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/horno_48.png"" alt=""Horno"" title=""Horno"">
  <figcaption>Horno</figcaption>
</figure></div><ul><li>Lonchas Jamon serrano partidas por la mitad</li></ul><blockquote><p><mark class=""marker-yellow"">NOTA: Sino entran en la placa todas, cubrir papel albal, y seguir poniendo arriba</mark></p></blockquote><ul><li><span class=""text-huge"">⇒</span> 160º - 20'&nbsp;</li></ul></div>",2023-05-21T16:30:37,JORTRI,2023-05-22T12:06:41,JORTRI
35,23,3,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure></div><ul><li>Aceite, Sal</li><li>Cebolla en Juliana</li><li><span class=""text-huge"">⇒</span> Pochar</li></ul></div>",2023-05-21T16:32:24,JORTRI,2023-05-22T12:06:06,JORTRI
43,24,5,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
  <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v4/imagenes_cocina/sarten_48.png"" alt=""Sartén"" title=""Sartén"">
  <figcaption>Sartén</figcaption>
</figure>
</div><ul><li>Mucho aceite &nbsp;freir → bien caliente</li><li>San jacobo dentro, dandole vuelta con 2 palas</li><li><span class=""text-big"">⇒</span> Freirlos</li></ul></div>",2023-05-21T16:57:52,JORTRI,2023-05-22T12:12:59,JORTRI
46,25,2,"<div class=""ck-content""><p>Molde para empanadilla: |____|</p><ul><li>Poner la empanadilla</li><li>Algo encima de la empanadilla para evitar se bufe hacia arriba</li></ul><blockquote><p><mark class=""pen-red"">CUIDADO: Algo que admita horno o lo reventaremos!!!</mark></p></blockquote><ul><li>⇒ &nbsp;Horno 200º - 15'</li></ul></div>",2023-05-21T17:08:05,JORTRI,2023-05-21T17:08:05,JORTRI
48,25,4,"<div class=""ck-content""><p>Nido del empanadilla del horno → sacado, montar dentro:</p><figure class=""table"" style=""float:left;width:200px;""><table style=""border:2px solid hsl(0, 0%, 0%);""><tbody><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Chistorra</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">2 huevos</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Sal</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);"">Tomate</td></tr><tr><td style=""border:2px solid hsl(0, 0%, 0%);""><strong>Base</strong>: Nido empanadilla</td></tr></tbody></table></figure><div class=""page-break"" style=""page-break-after:always;""><span style=""display:none;"">&nbsp;</span></div><p>⇒ Horno otra vez: 180º - 4'</p></div>",2023-05-21T17:10:58,JORTRI,2023-05-21T17:10:58,JORTRI
58,27,1,"<div class=""ck-content""><p>Olla:</p><ul><li>Aceite para sofreir</li><li>Cebolla troceada</li><li><span class=""text-big"">⇒</span> Sofreir</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Tomate</li><li>Zanahorias</li><li>Chorizo</li><li>Tocino</li><li>Patatas (peladas a trozos)</li><li><span class=""text-big"">⇒</span> Sofreir</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Cubrir con agua</li><li>⇒ Fuego medio: 20'</li></ul><p style=""margin-left:40px;"">+</p><ul><li>Sal</li><li>Laurel</li><li>Ajos entero</li><li>Pimentón picante</li></ul><p>&nbsp;</p></div>",2023-05-21T17:34:06,JORTRI,2023-05-21T17:34:06,JORTRI
60,28,1,"<div class=""ck-content""><div class=""raw-html-embed""><figure>
 <img src=""https://gdbbf7e48b23eea-apexcurso.adb.eu-madrid-1.oraclecloudapps.com/ords/r/curso/125/files/static/v20/imagenes_cocina/cazo_48.png"" alt=""Cazo"" title=""Cazo"">
 <figcaption>Cazo</figcaption>
</figure></div><ul><li>Cocer huevos → 10'</li><li>Reservar una yema</li><li>Picar las otras 3 yemas</li></ul><p>&nbsp;</p></div>",2023-05-21T17:39:49,JORTRI,2023-05-22T13:24:01,JORTRI
62,28,3,<p>Reducir vinagre modena → ½</p>,2023-05-21T17:42:19,JORTRI,2023-05-21T17:42:19,JORTRI
